nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
1,1,AAAC 0 70 sqmm ( SPLN ),M,"0,23",21675,2474,1485,MDU PUSAT,PLN
2,1,AAAC 0 150 sqmm ( SPLN ),M,"0,47",26872,4657,2794,MDU PUSAT,PLN
3,1,AAAC 0 240 sqmm ( SPLN ),M,"0,94",57662,5322,3193,MDU PUSAT,PLN
4,1,AAAC 0 S 70 sqmm ( SPLN ),M,"0,33",31887,4657,2794,MDU PUSAT,PLN
5,1,AAAC 0 S 150 sqmm ( SPLN ),M,"0,61",26310,5322,3193,MDU PUSAT,PLN
6,1,AAAC 0 S 240 sqmm ( SPLN ),M,"1,22",41777,6652,3991,MDU PUSAT,PLN
7,1,Alluminium Binding Wire Ø 4,M,"0,04",9135,5795,3477,NON MDU,TUNAI
8,1,"Alluminium Tape ((l=10mm, t=0,8mm)",M,"0,04",9398,2433,1460,NON MDU,TUNAI
9,1,"Arding Pipe 1,5 0 5,5 mtr",S,"4,19",0,0,0,NON MDU,TUNAI
10,1,"Arding Pipe 1,5"" 0 2,5 mtr",S,"1,5",253976,115308,69185,NON MDU,TUNAI
11,1,"Arding Pipe 1,5"" 0 6 mtr",S,"3,5",0,0,0,NON MDU,TUNAI
12,1,"Arm Tie Band 8"" 0 TM 0 (l=44mm, t=6mm)",B,"2,11",83737,26076,15646,NON MDU,TUNAI
13,1,"Arm Tie Type 750 0 3/4"" 0 (t=2,3 mm)",B,"1,3",73791,5215,3129,NON MDU,TUNAI
14,1,"Arm Tie Type 900 0 3/4"" 0 (t=2,3 mm)",B,"1,56",74415,5215,3129,NON MDU,TUNAI
15,1,MV Guy Insulator ( TM ) 0 belimbing,B,"1,5",85303,7501,4500,NON MDU,TUNAI
16,1,Baut mata,B,"0,85",25811,4500,2700,NON MDU,TUNAI
17,1,BC 50 MM,M,"0,19",91011,4056,2434,NON MDU,TUNAI
18,1,"Begel Ornament 4"" 0 10"" 0 (l=44mm, t=6mm)",B,"2,11",155483,16805,10083,NON MDU,TUNAI
19,1,"Begel Ornament 4"" 0 3 u/ Ferlengk 0 (l=44mm, t=6mm)",B,"2,11",80016,16805,10083,NON MDU,TUNAI
20,1,Beton Block 400 x 400 x 100 0 kotak,B,"21,15",187872,131780,79068,NON MDU,TUNAI
21,1,"Beugels 3""+Bolt & nut 0 (l=44mm, t=6mm)",B,"1,2",39813,6664,3998,NON MDU,TUNAI
22,1,"Beugels u/ dask 1.5 ""/ fixing colar + dekschroeven",B,"0,25",0,0,0,NON MDU,TUNAI
23,1,Klem C 50 mm,B,"0,4",55970,13328,7997,NON MDU,TUNAI
24,1,Bimetal Connector Al/Cu 0150 mm,B,"0,4",77434,20282,12169,NON MDU,TUNAI
25,1,"Bolt & Nut 3/16 x 0,5""",B,"0,2",6354,2318,1391,NON MDU,TUNAI
26,1,Bolt & Nut M.16 x 140 (517/U/2009),S,"0,26",26472,3303,1982,NON MDU,TUNAI
27,1,Bolt & Nut M.16 x 120 (517/U/2009),S,"0,26",23914,3187,1912,NON MDU,TUNAI
28,1,Double Arm Bolt & Nut M.16 x 350 (besi as),S,"0,68",66778,4346,2608,NON MDU,TUNAI
29,1,Double Arm Bolt & Nut M.16 x 400 (besi as),S,"0,76",73261,4636,2781,NON MDU,TUNAI
30,1,Bolt & Nut M.16 x 50 (517/U/2009),B,"0,14",14432,2492,1495,NON MDU,TUNAI
31,1,Bolt & Nut M.16 x 75 (517/U/2009),B,"0,18",17626,2550,1530,NON MDU,TUNAI
32,1,Bolt M.12 x 30 0 CU,B,"0,14",16723,2608,1565,NON MDU,TUNAI
33,1,Bongkar BC 16 mm / AAAC 35 MM,M,"0,23",0,0,0,NON MDU,TUNAI
34,1,Borring untuk Kabel tanah,M,0,1102632,897188,538313,NON MDU,TUNAI
35,1,Bundled End Assembly ( BEA ) 0 komplit,S,"0,75",72238,30986,18592,NON MDU,TUNAI
36,1,Comp. Joint Bimetal Al/Cu 0 70/70 mm (507/U/2009),B,"0,4",83341,13866,8320,NON MDU,TUNAI
37,1,Connector for Alluminium 70 mm 0 Type H (507/U/2009),B,"0,1",23764,22532,13519,NON MDU,TUNAI
38,1,Compresion Joint Sleeve 95 mm (507/U/2009),B,"0,18",112333,13328,7997,NON MDU,TUNAI
39,1,Concrete Slove / pengaman kabel uk.450x300x40 mm,B,"0,01",24363,2897,1738,NON MDU,TUNAI
40,1,Conn. press AL/AL type 6025 mm2 / 35070 mm2 + vinil masive,B,"0,4",17537,13328,7997,NON MDU,TUNAI
41,1,Conn. press AL/AL type 6025 mm2 / 6025 mm2 + vinil masive,B,"0,4",18409,4926,2955,NON MDU,TUNAI
42,1,Connector press AL/AL type 35016mm2 & Cover+tanda phasa,B,"0,1",18730,13354,8012,NON MDU,TUNAI
43,1,Connector press AL/AL type 70035mm2 & Cover+tanda phasa,B,"0,1",30698,13354,8012,NON MDU,TUNAI
44,1,Terminal Lug 50 mm2 AL0CU. (507/U/2009),B,"0,04",81167,12748,7649,NON MDU,TUNAI
45,1,Terminal Lug 70 mm2 AL0CU. (507/U/2009),B,"0,04",60500,12748,7649,NON MDU,TUNAI
46,1,"Cross arm 0 UNP 100 x 50 x 5 mm 0 3000 mm 0 (l=50mm, t=5mm, tgg=100mm)",B,21,763486,69185,41511,NON MDU,TUNAI
47,1,"Cross arm 0 UNP 100 x 50 x 5 mm 0 6000 mm0 (l=50mm, t=5mm, tgg=100mm)",B,42,1537047,98835,59301,NON MDU,TUNAI
48,1,"Cross Arm Clevis  0 TM 0 (l=50mm, t=6mm)",B,"0,82",43910,6954,4172,NON MDU,TUNAI
49,1,Cross Arm UNP 100 x 50 x 5 0 2.000 0 tumpu/tarik,B,14,495328,46123,27674,NON MDU,TUNAI
50,1,Cross Arm UNP 100 x 50 x 5 0 2.000 0 tumpu/tarik,B,14,495328,46123,27674,NON MDU,TUNAI
51,1,"Cross Arm UNP080 0 2500 (l=45mm,t=3,5mm,tgg=80mm)",S,8,482745,49418,29651,NON MDU,TUNAI
52,1,"Cross Arm UNP 100 x 50 x 5 mm 0 2500 mm 0 (l=50mm, t=5mm, tgg=100mm)",B,"14,28",642111,59301,35581,NON MDU,TUNAI
53,1,"Cross Arm UNP080 0 3000 (l=45mm,t=3,5mm,tgg=80mm)",B,"8,93",494896,52712,31627,NON MDU,TUNAI
54,1,Cross Arm Type 1.500 NP. 10,B,"5,71",377941,29651,17790,NON MDU,TUNAI
55,1,Cross Arm NP. 10 0 Type 750,B,"2,98",233361,14487,8692,NON MDU,TUNAI
56,1,"Cross Arm type 1.200 NP. 6,5",B,"5,64",123614,15166,9100,NON MDU,TUNAI
57,1,"Cross Arm type 1.000 NP. 6,5",B,"4,7",162884,14825,8895,NON MDU,TUNAI
58,1,Cross Arm type 900 NP. 8,B,"3,57",158644,13907,8344,NON MDU,TUNAI
59,1,Cross Arm type 500 0 NP. 8,B,"1,79",104018,8113,4868,NON MDU,TUNAI
60,1,Cubicle Pelanggan lengkap,B,"3,57",0,0,0,NON MDU,TUNAI
61,1,Kotak APP type C 0 IA Lengkap,S,50,0,0,0,NON MDU,TUNAI
62,1,CT LS 80 / ……. Amp ( sesuai daya ),S,0,0,0,0,NON MDU,TUNAI
63,1,Footstuken+bolt & nut,S,"0,35",39148,7243,4346,NON MDU,TUNAI
64,1,Plate Cooper,B,"0,35",259161,46123,27674,NON MDU,TUNAI
65,1,NH Fuse,B,0,0,0,0,NON MDU,TUNAI
66,1,CT TR 100/5 0 250/5 A,B,"1,2",690000,69537,41722,MDU UP3,PLN
67,1,"Cubicle Single Incoming , 630 A , 20kV, 16kA Lengkap dengan Incoming Cubicle, LBS , manualMetering Cubicle , VT, manualOutgoing Cubicle , CB Drawout , CT, PT, OCR , motorized (Type DM1W)",S,2250,104194433,1983421,1190053,MDU PUSAT,PLN
68,1,"manualOutgoing Cubicle , CB Drawout , CT, PT, OCR , motorized (Type DM1W)",S,0,0,0,0,NON MDU,TUNAI
69,1,Dead End Assembly ( DEA ) 0 komplit,S,"1,78",113561,49255,29553,NON MDU,TUNAI
70,1,"Double Arm Band 8"" 0 7"" 0 TM (504/U/2009)",B,"2,24",168820,23179,13907,NON MDU,TUNAI
71,1,"Double Guy Wire Band 7"" 0 TM",S,"1,83",101612,20282,12169,NON MDU,TUNAI
72,1,Dudukan Jointing,S,15,108258,13328,7997,NON MDU,TUNAI
73,1,"Ground Rod 16 mm 0 2,5 m+clamp 0 TM 0 besi As, Electroplatting tembaga 35 micron",S,"0,75",291799,56007,33604,NON MDU,TUNAI
74,1,"Fixing Collar 1.5 """,B,"0,5",12910,13178,7907,NON MDU,TUNAI
75,1,Polymer Cut Out Switch 24 kV + Fuse,S,"33,33",902054,18543,11126,MDU PUSAT,PLN
76,1,Galvanized Steel Wire 22 mm (542/U/2009),M,"0,44",12479,3295,1977,NON MDU,TUNAI
77,1,Galvanized Steel Wire 35 mm  (542/U/2009),M,"0,44",21238,3558,2135,NON MDU,TUNAI
78,1,Galvanized Steel Wire 70 mm  (542/U/2009),M,"0,95",34940,3822,2293,NON MDU,TUNAI
79,1,"Gaspijp 1,5"" 0 2,3 m, u/ dask Galv",B,"3,5",0,0,0,NON MDU,TUNAI
80,1,"Gaspijp 3 "" 0 6 m. Galv",B,"6,98",1167947,39534,23720,NON MDU,TUNAI
81,1,"Gaspijp 4 "" 0 6 m. Galv",B,"7,54",1860104,30968,18581,NON MDU,TUNAI
82,1,"Gembok ""setara SOLEX""",B,"0,4",326049,5000,3000,MDU UP3,PLN
83,1,"Earthing Rod 16 mm 0 1,5 m+clamp 0 TR0 besi As, Electroplatting tembaga 35 micron",S,"0,45",220258,59301,35581,NON MDU,TUNAI
84,1,"Guy Wire Rod 5/8"" ( 15 mm ) 0 1.800 mm (514/U/2009)",B,"3,48",142554,32945,19767,NON MDU,TUNAI
85,1,"Guy Wire Rod 5/8"" ( 15 mm ) 0 2.500 mm  (514/U/2009)",B,"6,96",179755,32945,19767,NON MDU,TUNAI
86,1,"Guy Wire Timble (t=2,5mm)",B,"0,13",5299,3822,2293,NON MDU,TUNAI
87,1,Insulated Tension Joint 70 mm,B,"0,1",49401,7243,4346,NON MDU,TUNAI
88,1,Insulated Non Tension Joint 50 mm,B,"0,1",33033,0,0,NON MDU,TUNAI
89,1,Jasa Perakitan / Montage,Ls,0,0,45335,27201,NON MDU,TUNAI
90,1,Jasa Perakitan / Montage,Ls,0,0,45335,27201,NON MDU,TUNAI
91,1,Jasa Perakitan / Montage,Ls,0,0,45335,27201,NON MDU,TUNAI
92,1,Joint Sleeve 70 mm  (507/U/2009),B,"0,07",88851,12169,7301,NON MDU,TUNAI
93,1,Joint Sleeve 150 mm (507/U/2009),B,"0,14",154601,24709,14825,NON MDU,TUNAI
94,1,Joint Sleeve 240 mm,B,"0,28",195293,24709,14825,NON MDU,TUNAI
95,1,Jointing Termination 24 Kv 0 uk. 150 mm 0 3 Core/XLPE,S,"7,5",7264397,2297212,1378327,MDU UID,PLN
96,1,Jointing Termination 24 Kv 0 uk. 150 mm 0 1 Core/MVTIC,S,"7,5",7175372,1689473,1013684,MDU UID,PLN
97,1,Jointing Termination 24 Kv 0 uk. 240 mm 0 3 Core/XLPE,S,"7,5",7381743,1689473,1013684,MDU UID,PLN
98,1,Kanal NP6060 cm + Bolt&nut,B,"3,25",47488,6954,4172,MDU UID,PLN
99,1,Kawat Segel @ 15 cm,B,"0,03",419,2500,1500,NON MDU,TUNAI
100,1,"Klem Begel 3/4"" u/ kabel",B,"0,76",27114,6954,4172,NON MDU,TUNAI
101,1,"Klem Begel U 2"" 0 (t=3mm, l=35mm)",B,"0,45",33952,6374,3825,NON MDU,TUNAI
102,1,"Klem Begel U 3"" 0 (t=3mm, l=35mm)",B,"0,45",39813,6664,3998,NON MDU,TUNAI
103,1,"Klem Begel U 10"" 0 TM 0 (l=44mm, t=6mm)",B,"2,24",78455,7012,4207,NON MDU,TUNAI
104,1,"Klem Begel U 11"" 0 TM 0 (l=44mm, t=6mm)",B,"2,46",89886,7012,4207,NON MDU,TUNAI
105,1,Klem kabel/ Cable suport (508/U/2009),B,"1,2",1398,3750,2250,NON MDU,TUNAI
106,1,"Knee + sook 3"" besi",B,1,217355,9851,5911,NON MDU,TUNAI
107,1,"Knee 2"" 0 PVC",B,"0,78",20972,6251,3750,NON MDU,TUNAI
108,1,Kotak APP u/kWh Meter Elektronik + Modem,S,"3,5",0,0,0,NON MDU,TUNAI
109,1,kWh Meter 3 ph Elektronik lengkap Modem,S,"3,25",0,260763,156458,NON MDU,TUNAI
110,1,kWh m 3 phs. Elektronik lengkap dengan Modem,S,"3,25",1442800,231789,139073,MDU PUSAT,PLN
111,1,kWh m 3 phs. 220/380 V 0 20/60 A ST Clas 1 Elektronik,S,"2,5",0,234686,140812,NON MDU,TUNAI
112,1,"kWh m TM Kelas 0,5s dilengkapi fasilitas AMR",S,"4,2",1436450,260763,156458,MDU PUSAT,PLN
113,1,"KWh meter Electronic Anti Temper 1 Phasa 2 kawat 50 Hz, 5(20) klass 1 lengkap MCB",S,"2,2",351802,60005,36003,MDU PUSAT,PLN
114,1,"L bouw 3 "" PVC",S,"0,65",68246,6954,4172,NON MDU,TUNAI
115,1,Large Angle Assembly ( LAA ),S,"2,75",120241,57947,34768,NON MDU,TUNAI
116,1,"Lengkap dengan Incoming Cubicle, LBS , manualMetering Cubicle , VT,",S,0,0,0,0,NON MDU,TUNAI
117,1,Lightning Arrester 24 kV 0 10 kA,S,"8,38",715315,45199,27119,MDU PUSAT,PLN
118,1,Line Tap Connector 50070 mm type G,B,"0,4",24000,11589,6954,NON MDU,TUNAI
119,1,Line Tap Connector Al 150 0 50 mm type G,B,"0,4",36294,13328,7997,NON MDU,TUNAI
120,1,C Clamp Cu 0 50 mm,B,"0,4",31350,13328,7997,NON MDU,TUNAI
121,1,Line Tap Connector Type 70 0 150 mm,B,"0,4",30967,11589,6954,NON MDU,TUNAI
122,1,Line Tap Connector Type Al 0 150 mm,B,"0,8",36377,13328,7997,NON MDU,TUNAI
123,1,Link (506/U/2009),B,"0,23",4176,2000,1200,NON MDU,TUNAI
124,1,Load Break Switch 24 kV 0 630 A Manual,S,250,91243638,1345782,807469,MDU PUSAT,PLN
125,1,"Load Break Switch 24 kV0630 A Motorized 12,5 kA c/w PTCC",S,185,68961402,1794376,1076626,MDU PUSAT,PLN
126,1,Load Segel @ tiap 5 meter,B,"1,75",70840,5795,3477,NON MDU,TUNAI
127,1,"Lodden manchet 1.5 "" berat 0.95 0 1 kg",B,1,0,3627,2176,NON MDU,TUNAI
128,1,Termination Outdoor 24 kV 0 uk. 150 mm 0 1 Core/MVTIC,S,"7,5",5503235,2510903,1506542,MDU UID,PLN
129,1,Termination Idoor 24 kV 0 uk. 150 mm 0 1 Core/MVTIC,S,"7,5",4180342,2510903,1506542,MDU UID,PLN
130,1,MCB 230 V 0 35 A s/d 50 A 0 1 Phasa,B,"0,25",35972,13413,8048,MDU PUSAT,PLN
131,1,MCB 230 V 0 2 A s/d 35 A 0 1 Phasa,B,"0,25",35972,10001,6001,MDU PUSAT,PLN
132,1,MCB 230 V 0 10 s/d 50 A 0 3 Phasa,B,"0,25",163076,14487,8692,MDU PUSAT,PLN
133,1,MCB 3 phs. 230 V 0 25 A s/d 50 A,B,"0,3",500000,12001,7201,MDU PUSAT,PLN
134,1,MCCB 63 s/d 100 A,B,"2,5",0,0,0,MDU UP3,PLN
135,1,Mountage,Ls,0,0,0,0,NON MDU,TUNAI
136,1,Mountage SLM 250 kva keatas,Ls,0,167163,185431,111259,-,PLN
137,1,Mountage kWH 5/20 A,S,0,0,86921,52153,38.169,PLN
138,1,NA2XSEYBY 3 x 150 mm2;20KV;UG,M,"10,5",376091,41492,24895,MDU PUSAT,PLN
139,1,NA2XSEYBY 3 x 240 mm2;20KV;UG,M,"12,43",434745,46103,27662,MDU PUSAT,PLN
140,1,NFA2XSEY0T 3 x 150 + 1 x 95 mm2 0 CWS,M,"5,29",312182,46103,27662,MDU PUSAT,PLN
141,1,NFA2XSEY0T 3 x 240 + 1 x 95 mm2 0 CWS,M,"9,52",375350,55323,33194,MDU PUSAT,PLN
142,1,NYA 35 sqmm ( SPLN ),M,"0,1",79270,8001,4800,NON MDU,TUNAI
143,1,NYA 50 sqmm ( SPLN ),M,"0,19",92494,11501,6901,NON MDU,TUNAI
144,1,"NYAF / NYA 2,5 mm² ( SPLN )",M,"0,12",7457,5500,3300,NON MDU,TUNAI
145,1,NYAF 10 mm² ( SPLN ),M,"0,12",34596,1917,1150,NON MDU,TUNAI
146,1,NYAF 35 sqmm u/ bawah Arrester ( SPLN ),M,"0,1",92467,11501,6901,NON MDU,TUNAI
147,1,NYY 1 x 70 mm2 ( SPLN ),M,"0,1",184028,0,0,NON MDU,TUNAI
148,1,NYY 1 x 150 sqmm 0 Input ( SPLN ),M,"0,38",208393,18458,11075,MDU PUSAT,PLN
149,1,NYY 4 x 70 sqmm 0 Output ( SPLN ),M,"0,76",399688,31871,19123,MDU PUSAT,PLN
150,1,NYY 4x2.5 mm untuk APP ( SPLN ),M,"0,2",21811,5500,3300,NON MDU,TUNAI
151,1,OA Kast type I Sistim Press cat powder coating,B,18,0,434605,260763,NON MDU,TUNAI
152,1,OA Kast type III lengkap cat powder coating,S,55,166689,28974,17384,MDU UID,PLN
153,1,OA Kast type VI cat powder coating,S,45,1884972,260763,156458,MDU UID,PLN
154,1,"OA Kast type VI ,Kecil cat powder coating",S,35,124494,17384,10431,MDU UID,PLN
155,1,"Ornament Kabel Band 6""",S,"2,11",46092,7533,4520,NON MDU,TUNAI
156,1,"Ornament Kabel Band 9/10."" 0 3/4""",S,"1,4",28317,10720,6432,NON MDU,TUNAI
157,1,Pasir urug,M3,0,664419,25842,15505,NON MDU,TUNAI
158,1,Patok Tanda Kabel (169/K/2009),B,5,99028,29651,17790,NON MDU,TUNAI
159,1,"Pipa Air 3/4"" 0 3 mtr. u/ pelindung Ground  (555/U/2009)",B,0,120474,11860,7116,NON MDU,TUNAI
160,1,"Pin Post Insulator 20 Kv;12,5 kN 0 Porcelain",S,8,231633,26356,15814,MDU PUSAT,PLN
161,1,"Pipa Air 3/4"" 0 2 mtr. u/ pelindung Ground  (555/U/2009)",B,0,81762,10542,6325,NON MDU,TUNAI
162,1,"Pipa Air 3/4"" 0 4 mtr. u/ pelindung Ground  (555/U/2009)",B,"0,93",159177,11531,6918,NON MDU,TUNAI
163,1,"Pipa Air 3/4"" 01 mtr. u/ pelindung Ground (555/U/2009)",B,"0,23",47149,7907,4744,NON MDU,TUNAI
164,1,"Pipa Air 3/4"" 0 6 mtr tebal 1,6 mm",B,"1,85",211163,10431,6258,NON MDU,TUNAI
165,1,"Pipa Air 2"" 0 1,5 meter ( medium ) (555/U/2009)",B,"8,38",287459,41064,24639,NON MDU,TUNAI
166,1,"Pipa Air 2"" 0 3 meter ( medium )  (555/U/2009)",B,"2,06",346941,15155,9093,NON MDU,TUNAI
167,1,"Pipa Air 2"" 0 6 mtr tbl 2,5 mm ( medium )",B,"2,06",734315,29651,17790,NON MDU,TUNAI
168,1,"Pipa Air 3"" 0 1 meter ( medium )  (555/U/2009)",B,"1,4",282365,17790,10674,NON MDU,TUNAI
169,1,"Pipa Air 3"" 0 5 meter ( medium )  tbl = 3 mm",B,"8,38",682032,42237,25342,NON MDU,TUNAI
170,1,"Pipa Air 3"" 0 6 mtr tbl 2,5 mm ( medium )",B,"8,38",734315,29651,17790,NON MDU,TUNAI
171,1,"Pipa Air 2"" 0 5 mtr tbl 2,5 mm ( medium )",B,"1,71",639861,19108,11465,NON MDU,TUNAI
172,1,"Pipa Air PVC 2"" 0 3 meter ( AW )",B,0,97713,7533,4520,NON MDU,TUNAI
173,1,"Pipa Air PVC 3"" 0 5 meter ( AW )",B,0,659539,19175,11505,NON MDU,TUNAI
174,1,"Pipa Air 2"" 0 2 meter / Strut Tie (555/U/2009)",S,"2,06",265388,14487,8692,NON MDU,TUNAI
175,1,"Pipa Air 3/4"" 0 1 meter medium (555/U/2009)",B,0,47149,7907,4744,NON MDU,TUNAI
176,1,"Pipa Air 4"" 0 6 mter u/ pelindung jalan  (555/U/2009)",B,"9,88",1860104,30968,18581,NON MDU,TUNAI
177,1,"Pipa Air 4"" 0 6 mtr (555/U/2009)",B,"9,88",1292576,75331,45199,NON MDU,TUNAI
178,1,"Pipa Pelindung 3/4"" 0 2000  (512/U/2009)",B,"1,85",81870,11201,6721,NON MDU,TUNAI
179,1,"Pipa Pelindung 3/4"" 0 3000 (555/U/2009)",B,"2,25",120474,11860,7116,NON MDU,TUNAI
180,1,Plastic Strap Medium,B,"0,08",2355,2318,1391,NON MDU,TUNAI
181,1,Plat Cooper 4 x 40 mm,M,"1,6",259161,46123,27674,NON MDU,TUNAI
182,1,Pole Block (504/U/2009),S,"1,68",211466,92246,55348,NON MDU,TUNAI
183,1,"Pole Block Band 12"" 0 TM (557/U/2009)",S,21,73985,23062,13837,NON MDU,TUNAI
184,1,"Pole Bracket 306""",B,"0,5",39573,7243,4346,NON MDU,TUNAI
185,1,"Pole Bracket 6"" 0 8""",B,"0,5",41271,8692,5215,NON MDU,TUNAI
186,1,Pondasi type A ( 1 tiang )  (91/U/2009),B,0,492236,295332,177199,NON MDU,TUNAI
187,1,Pondasi type D ( 2 Tiang ) (91/U/2009),B,0,946608,553748,332249,NON MDU,TUNAI
188,1,"Pondasi u/Gaspijp 3""",Ls,0,157785,98835,59301,NON MDU,TUNAI
189,1,Preformed Termination 35 mm  (542/U/2009),B,"0,5",52034,17384,10431,NON MDU,TUNAI
190,1,Preformed Termination 70 mm  (542/U/2009),B,"0,4",76420,20282,12169,NON MDU,TUNAI
191,1,"Protective cap 1.5 """,B,"0,5",9050,863,518,NON MDU,TUNAI
192,1,"PVC 3/4"" 6 meter",B,"0,85",0,0,0,NON MDU,TUNAI
193,1,Service wedge clamp 2/4 x 6/10 mm,Bh.,"0,75",5383,4346,2608,NON MDU,TUNAI
194,1,Service wedge clamp 4/4 x 10/16 mm,B,"0,75",6296,5679,3407,NON MDU,TUNAI
195,1,"Single Arm Band 8"" (504/U/2009)",B,"2,24",113614,10431,6258,NON MDU,TUNAI
196,1,"Single Guy Wire Band 8"" 0 TM (513/U/2009)",S,"1,4",86625,14487,8692,NON MDU,TUNAI
197,1,Small Angle Assembly ( SAA ),S,"1,76",89689,28974,17384,NON MDU,TUNAI
198,1,"Sock Pipa PVC 3""",B,"0,04",17430,4250,2550,NON MDU,TUNAI
199,1,Preformed Termination 22 mm  (542/U/2009),B,"0,5",29040,14487,8692,NON MDU,TUNAI
200,1,Square pipe 75 x 75 x 3 0 2000 0 tumpu (502/U/2009),B,14,0,0,0,NON MDU,TUNAI
201,1,"Square Washer 0 (l=50mm, p=50mm, t=2,5mm)",B,"0,05",5541,1449,869,NON MDU,TUNAI
202,1,Stainless Steel Strip non magnetic,M,"0,02",13548,5563,3338,NON MDU,TUNAI
203,1,Stoping Buckle non magnetic,B,"0,23",3982,3651,2190,NON MDU,TUNAI
204,1,Strain Clamp 70 0 150 mm 0 2 nut,S,"0,95",96584,17384,10431,NON MDU,TUNAI
205,1,Strain Clamp 150 0 240 mm 0 3 nut,S,"1,2",189858,23179,13907,NON MDU,TUNAI
206,1,Strain Rod Insulator (88/U/2009),S,9,431581,23179,13907,MDU PUSAT,PLN
207,1,Strainhook & clamp u/. Gaspijp 0 1.5',B,"0,95",15403,11589,6954,NON MDU,TUNAI
208,1,"Stroppen u/ loden manchet 1.5""",B,"0,85",0,0,0,NON MDU,TUNAI
209,1,"Strut Arm TM 0 (l=50mm, t=5mm, tgg=100mm) NP 10 0 30 cm",B,"2,8",60192,20282,12169,NON MDU,TUNAI
210,1,"Strut Arm TR 0 (l=50mm, t=5mm, tgg=100mm) NP 10 0 25 cm",B,2,65948,20282,12169,NON MDU,TUNAI
211,1,"Strut Tie 2000 0 pipe 2""  (512/U/2009)",B,"1,37",165448,11589,6954,NON MDU,TUNAI
212,1,Suspension Clamp For MV,B,"0,82",29370,5215,3129,NON MDU,TUNAI
213,1,"Tanda Bahaya Besar 0 (l=400mm, tgg=450mm)",B,"0,08",82598,5215,3129,NON MDU,TUNAI
214,1,NFA2X0T;3x70 + 1x50 mm2,M,"1,05",75237,16257,9754,NON MDU,TUNAI
215,1,TC 3 x 50 + 1 x 35 sqmm ( SPLN ),M,"0,77",34095,11632,6979,NON MDU,TUNAI
216,1,Terminal Lug 150 mm 0 Al 2 Nut,B,"0,4",125750,13907,8344,NON MDU,TUNAI
217,1,Terminal Lug 150 mm 0 Al / Cu (507/U/2009),B,"0,2",128879,13907,8344,NON MDU,TUNAI
218,1,Terminal Lug 150 mm 0 Al 2 Nute,B,"0,2",125750,13907,8344,NON MDU,TUNAI
219,1,Terminal Lug 35 mm 0 Cu (507/U/2009),B,"0,4",23100,9561,5737,NON MDU,TUNAI
220,1,Terminal Lug 35050 mm 0 Cu  (507/U/2009),B,"0,4",64504,10129,6077,NON MDU,TUNAI
221,1,Terminal Lug 50 mm 0 Al (507/U/2009),B,"0,23",29400,12748,7649,NON MDU,TUNAI
222,1,Terminal Lug 50 mm 0 Cu (507/U/2009),B,"0,4",27500,12748,7649,NON MDU,TUNAI
223,1,Terminal Lug 70 mm 0 Al/Cu 2 Nut,B,"0,4",157850,12748,7649,NON MDU,TUNAI
224,1,Terminal lug 70 mm AL/CU u/ CO  (507/U/2009),B,"0,23",60500,12748,7649,NON MDU,TUNAI
225,1,Terminal Lug 70 mm 0 Cu  (507/U/2009),B,"0,4",73733,12748,7649,NON MDU,TUNAI
226,1,Terminal Lug 70 mm Al (507/U/2009),B,"0,1",29600,12748,7649,NON MDU,TUNAI
227,1,Terminal Lug 70 mm Al 0 Cu  (507/U/2009),B,"0,1",60500,12748,7649,NON MDU,TUNAI
228,1,Terminal Lug 150 mm 0 Cu (507/U/2009),B,"0,8",138836,13907,8344,NON MDU,TUNAI
229,1,Terminal Lug 50 mm 0 Cu (507/U/2009),B,"0,4",27500,12748,7649,NON MDU,TUNAI
230,1,Terminal Lug 70 mm 0 Cu  (507/U/2009),B,"0,4",73733,12748,7649,NON MDU,TUNAI
231,1,Termination ID 3 X 150 MM2 u/XLPE,S,"7,5",7264397,2297212,1378327,MDU UID,PLN
232,1,Termination ID 3 X 240 MM2 u/XLPE,S,"7,5",5685530,1689473,1013684,MDU UID,PLN
233,1,Termination OD 3 X 150 MM2 u/XLPE,S,"7,5",6680875,2297212,1378327,MDU UID,PLN
234,1,Termination OD 3 X 240 MM2 u/ XLPE,S,"7,5",6680875,1689473,1013684,MDU UID,PLN
235,1,Termination Out Door 3 X 150 + 1 x 95 mm u/MVTIC,S,"7,5",0,0,0,NON MDU,TUNAI
236,2,Tiang Beton 11 0 200 daN (524/U/2009),B,900,4439661,1325750,795450,MDU PUSAT,PLN
237,2,Tiang Beton 11 0 200 daN + E  (524/U/2009),B,900,4439661,1325750,795450,MDU PUSAT,PLN
238,2,Tiang Beton 11 0 350 daN (524/U/2009),B,925,5980453,1395523,837314,MDU PUSAT,PLN
239,2,Tiang Beton 11 0 350 daN + E (524/U/2009),B,925,5980453,1395523,837314,MDU PUSAT,PLN
240,2,Tiang Beton 12 0 200 daN (524/U/2009),B,1000,6210394,1446270,867762,MDU PUSAT,PLN
241,2,Tiang Beton 12 0 350 daN  (524/U/2009),B,1001,6850711,1522393,913436,MDU PUSAT,PLN
242,2,Tiang Beton 12 0 350 daN + E BC,B,1002,6850711,1522393,913436,MDU PUSAT,PLN
243,2,Tiang Beton 13 0 350 daN + E,B,1150,6702592,1928000,1156800,NON MDU,TUNAI
