nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
509,1,1 Unit External CT 20 kV Oout Door,S,70,4042338,70711,42427,MDU PUSAT,PLN
510,1,Klem C 0 150/35 mm 0 Cu,B,"0,2",149669,0,0,NON MDU,TUNAI
511,1,PMCB Out Door 24 kV lengkap,U,175,193315023,1635519,981311,MDU PUSAT,PLN
512,1,"Load Break Switch 24 kV0630 A Motorized 12,5 kA non RTU",S,210,248439,25337,15202,MDU UID,PLN
513,1,Wire Clip M8 (Ø 22mm),S,"0,1",6373,5215,3129,NON MDU,TUNAI
514,1,Wire Clip M10 (Ø 35mm),S,"0,12",6589,6954,4172,NON MDU,TUNAI
515,1,Wire Clip M12 (Ø 70mm),S,"0,16",5907,6954,4172,NON MDU,TUNAI
516,1,Wire Clip M16 (Ø 95mm),S,"0,26",8269,6954,4172,NON MDU,TUNAI
517,1,Connection Clamp For Netral + Bolt M12 x 25 0 (Acc.MVTIC),S,"0,26",31472,2897,1738,NON MDU,TUNAI
518,1,Extension for GW type B 0 (Acc.MVTIC),B,"0,7",26934,2965,1779,NON MDU,TUNAI
519,1,Extension for GW type A 0 (Acc.MVTIC),B,"0,6",30743,2965,1779,NON MDU,TUNAI
520,1,Separator Clamp for Netral 0 (Acc.MVTIC),B,"0,6",33777,2636,1581,NON MDU,TUNAI
521,1,"Cross Arm Type 750 NP. 10 (l=50mm, t=5mm, tgg=100mm)",B,"2,98",233361,14487,8692,NON MDU,TUNAI
522,1,Iron Wire 6 mm,M,"0,2",8249,5795,3477,NON MDU,TUNAI
523,1,"Cross Arm UNP 80 x 40 x 3,2 0 1.500",S,8,270923,17790,10674,NON MDU,TUNAI
524,1,Joint Sleeve Non Tenion 150 mm 0 Al,B,16,71725,14487,8692,NON MDU,TUNAI
525,1,Joint Sleeve Non Tenion 95 mm 0 Al,B,32,52150,13328,7997,NON MDU,TUNAI
526,1,"Begel Ornament 3"" 0 0,5"" + baut u/ Clamp MVTIC (l=30 mm, t=3 mm)",B,"2,11",28403,11010,6606,NON MDU,TUNAI
527,1,"Cross Arm UNP 80 x 45 x 3,2 0 2.000",S,8,369782,46123,27674,NON MDU,TUNAI
528,1,Angkutan Material,Ton/M3,0,0,168708,101225,NON MDU,TUNAI
529,1,Asuransi Material PLN,Ls,0,0,0,0,NON MDU,TUNAI
530,1,Commisioning test Jaringan JTM,Loks.,0,0,521525,312915,NON MDU,TUNAI
531,1,Commisioning test Jaringan Kabel JTM,Loks.,0,0,3319596,1991758,NON MDU,TUNAI
532,1,Commisioning test GD,Loks.,0,0,434605,260763,NON MDU,TUNAI
533,1,Commisioning test JTR,Loks.,0,0,318710,191226,NON MDU,TUNAI
534,1,Commisioning test LBS / Recloser,Loks.,0,0,1070579,642347,NON MDU,TUNAI
535,1,Safety Cost K3L,Pek.,0,0,314016,188410,NON MDU,TUNAI
536,1,Commisioning SR 1 Phasa,Loks.,0,0,0,0,NON MDU,TUNAI
537,1,Commisioning SR 3 Phasa,Loks.,0,0,0,0,NON MDU,TUNAI
538,1,Kabel NYFGBY 2 x 10 mm2,M,"0,6",8482,19767,11860,MDU UP3,PLN
539,1,Kabel NYFGBY 4 x 10 mm2,M,"1,2",131426,26356,15814,MDU UP3,PLN
540,1,Kabel NYFGBY 4 x 16 mm2,M,"1,92",186420,29651,17790,MDU UP3,PLN
541,1,Kabel NYFGBY 4 x 25 mm2,M,"4,8",332014,36917,22150,MDU UP3,PLN
542,1,Kabel NYFGBY 4 x 50 mm2,M,6,553537,40608,24365,MDU UP3,PLN
543,1,Kabel NYFGBY 4 x 70 mm2,M,"8,4",773599,42454,25472,MDU UP3,PLN
544,1,Kabel NYFGBY 4 x 120 mm2,M,"14,4",1263846,0,0,MDU UP3,PLN
545,1,Kabel NYFGBY 4 x 95 mm2,M,"11,4",1539624,42454,25472,MDU UP3,PLN
